time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
8.149,0.285,0.003,6.84,-3.04,23.0,0,0,0,0,0.0
8.297,0.299,0.017,7.48,-2.67,25.43,0,0,0,0,0.0
8.331,0.288,0.009,5.97,-3.31,23.13,0,0,0,0,0.0
8.736,0.313,0.004,6.66,-3.54,28.61,0,0,0,0,0.0
8.761,0.287,0.013,7.26,-4.35,30.0,0,0,0,0,0.0
8.784,0.295,0.005,7.63,-3.61,27.92,0,0,0,0,0.0
8.81,0.262,0.005,8.26,-2.69,30.59,0,0,0,0,0.0
8.965,0.245,0.009,7.25,-2.99,37.91,0,0,0,0,1.4
8.984,0.133,0.014,4.16,-2.03,30.68,0,0,0,0,15.6
9.018,0.146,0.009,0.98,-2.19,5.96,0,0,0,0,14.7
9.048,0.239,0.015,0.6,-1.35,6.22,0,0,0,0,4.3
9.198,0.244,0.008,5.27,-1.11,32.39,0,0,0,0,4.5
9.216,0.248,0.019,5.56,0.01,30.32,0,0,0,0,4.7
9.242,0.248,0.008,6.09,-0.19,30.05,0,0,0,0,5.5
9.27,0.245,0.011,6.07,-0.54,29.22,0,0,0,0,6.5
9.434,0.235,0.008,5.15,0.13,37.68,0,0,0,0,8.6
9.452,0.21,0.021,-1.83,-0.74,9.48,0,0,0,0,12.3
9.479,0.242,0.083,10.63,-1.45,30.53,0,0,0,0,9.2
9.514,0.271,0.024,6.19,-2.2,34.44,0,0,0,0,0.0
9.664,0.242,0.01,8.11,-2.39,34.01,0,0,0,0,1.7
9.685,0.272,0.009,6.13,-4.37,28.03,0,0,0,0,0.0
9.72,0.281,0.013,1.58,-2.71,4.14,0,0,0,0,0.0
9.747,0.265,0.009,1.02,-3.06,3.01,0,0,0,0,0.0
9.912,0.263,0.011,1.93,-2.73,8.36,0,0,0,0,0.0
9.933,0.292,0.011,9.62,-5.21,20.58,0,0,0,0,0.0
9.951,0.326,0.008,9.32,-4.66,19.76,0,0,0,0,0.0
