time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
6.974,0.341,0.007,12.23,-8.43,11.96,0,0,0,0,0.0
7.078,0.36,0.01,9.37,-9.17,10.74,0,0,0,0,0.0
7.104,0.352,0.007,8.83,-8.78,12.45,0,0,0,0,0.0
7.57,0.348,0.007,8.83,-8.86,10.95,0,0,0,0,0.0
7.59,0.31,0.005,-3.06,-6.85,4.15,0,0,0,0,0.0
7.612,0.332,0.006,7.13,-8.04,10.89,0,0,0,0,0.0
7.649,0.316,0.005,7.5,-8.27,10.84,0,0,0,0,0.0
7.815,0.327,0.009,7.26,-8.27,9.47,0,0,0,0,0.0
7.847,0.327,0.009,8.04,-8.29,10.88,0,0,0,0,0.0
7.879,0.336,0.009,6.72,-7.83,12.72,0,0,0,0,0.0
7.911,0.336,0.007,7.51,-7.82,11.03,0,0,0,0,0.0
8.078,0.338,0.006,6.63,-8.09,12.81,0,0,0,0,0.0
8.111,0.331,0.002,3.56,-7.11,24.91,0,0,0,0,0.0
8.143,0.328,0.002,4.2,-7.44,22.08,0,0,0,0,0.0
8.168,0.327,0.002,5.55,-7.31,19.81,0,0,0,0,0.0
8.324,0.344,0.006,5.27,-7.29,21.05,0,0,0,0,0.0
8.345,0.327,0.005,5.76,-6.4,21.71,0,0,0,0,0.0
8.376,0.332,0.004,7.45,-6.33,14.93,0,0,0,0,0.0
8.421,0.341,0.006,7.8,-5.78,13.11,0,0,0,0,0.0
8.561,0.333,0.005,6.52,-5.43,16.75,0,0,0,0,0.0
8.593,0.35,0.005,5.14,-5.03,20.06,0,0,0,0,0.0
8.644,0.315,0.005,5.95,-5.03,20.76,0,0,0,0,0.0
8.675,0.321,0.003,6.15,-5.08,18.79,0,0,0,0,0.0
8.794,0.33,0.005,6.3,-4.77,18.26,0,0,0,0,0.0
8.826,0.314,0.006,6.48,-5.48,19.53,0,0,0,0,0.0
8.858,0.322,0.005,8.22,-5.16,14.01,0,0,0,0,0.0
8.891,0.332,0.003,8.83,-4.75,15.25,0,0,0,0,0.0
9.02,0.322,0.003,8.93,-4.99,15.82,0,0,0,0,0.0
9.06,0.345,0.004,8.27,-4.83,19.21,0,0,0,0,0.0
9.092,0.334,0.004,9.15,-4.61,14.9,0,0,0,0,0.0
9.13,0.324,0.003,9.99,-5.26,14.24,0,0,0,0,0.0
9.273,0.344,0.006,9.62,-4.95,14.58,0,0,0,0,0.0
9.306,0.277,0.007,10.41,-4.21,13.98,0,0,0,0,0.0
9.34,0.203,0.006,-2.65,-4.54,1.17,0,0,0,0,6.3
9.377,0.179,0.005,-2.44,-4.27,2.65,0,0,0,0,10.0
9.521,0.249,0.006,-3.01,-2.59,0.23,0,0,0,0,2.3
9.54,0.273,0.004,-3.72,-3.59,0.1,0,0,0,0,0.0
9.577,0.274,0.008,-3.69,-4.58,3.77,0,0,0,0,0.0
9.61,0.318,0.004,8.22,-6.16,14.27,0,0,0,0,0.0
9.775,0.302,0.006,8.47,-6.46,15.04,0,0,0,0,0.0
9.798,0.324,0.005,10.62,-7.33,15.3,0,0,0,0,0.0
9.827,0.34,0.005,10.21,-7.48,14.68,0,0,0,0,0.0
9.861,0.33,0.009,9.67,-7.13,16.42,0,0,0,0,0.0
10.019,0.339,0.005,10.1,-6.91,14.12,0,0,0,0,0.0
10.059,0.352,0.005,6.96,-6.55,12.78,0,0,0,0,0.0
10.079,0.339,0.005,-3.22,-5.97,0.85,0,0,0,0,0.0
10.11,0.334,0.011,-2.34,-5.56,0.99,0,0,0,0,0.0
10.251,0.332,0.007,-1.05,-5.34,0.4,0,0,0,0,0.0
10.271,0.326,0.01,4.64,-6.27,0.67,0,0,0,0,0.0
10.299,0.324,0.007,5.58,-6.19,2.71,0,0,0,0,0.0
10.328,0.329,0.005,6.28,-6.83,2.29,0,0,0,0,0.0
10.473,0.338,0.004,8.61,-6.11,5.41,0,0,0,0,0.0
10.49,0.347,0.006,9.35,-6.67,4.96,0,0,0,0,0.0
10.512,0.351,0.008,10.4,-6.63,6.28,0,0,0,0,0.0
10.56,0.35,0.011,9.0,-6.62,4.86,0,0,0,0,0.0
10.703,0.343,0.008,10.27,-6.39,5.77,0,0,0,0,0.0
10.741,0.343,0.007,10.18,-6.03,8.39,0,0,0,0,0.0
10.772,0.344,0.015,9.05,-7.19,6.43,0,0,0,0,0.0
10.796,0.352,0.007,10.91,-6.89,6.15,0,0,0,0,0.0
10.945,0.37,0.009,9.8,-6.64,6.39,0,0,0,0,0.0
10.991,0.343,0.011,10.84,-6.99,6.45,0,0,0,0,0.0
