time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
13.888,0.224,0.013,-0.6,0.02,-5.59,0,0,0,0,3.8
14.001,0.254,0.015,-0.93,-2.86,-4.0,0,0,0,0,0.0
14.038,0.241,0.008,-2.26,-2.92,-3.68,0,0,0,0,1.9
15.177,0.243,0.009,-1.43,-2.89,-4.21,0,0,0,0,2.4
15.205,0.249,0.014,-3.13,15.25,-12.69,0,0,0,0,2.4
15.247,0.264,0.006,-4.85,18.12,-16.87,0,0,0,0,0.0
15.276,0.247,0.009,-5.96,17.69,-17.15,0,0,0,0,1.1
15.652,0.249,0.005,-4.92,19.62,-17.25,0,0,0,0,1.7
15.679,0.255,0.01,-5.81,21.75,-15.86,0,0,0,0,0.0
15.709,0.238,0.004,-6.54,22.14,-15.86,0,0,0,0,2.2
15.734,0.23,0.011,-6.56,21.2,-16.42,0,0,0,0,4.0
16.144,0.262,0.009,-6.32,22.15,-16.82,0,0,0,0,0.0
16.171,0.277,0.015,-6.13,20.64,-12.37,0,0,0,0,0.0
16.2,0.275,0.02,-8.9,21.27,-12.49,0,0,0,0,0.0
16.229,0.285,0.009,-7.29,20.96,-13.04,0,0,0,0,0.0
16.576,0.269,0.013,-8.72,20.63,-13.34,0,0,0,0,0.0
16.599,0.209,0.007,-5.63,18.99,-14.35,0,0,0,0,5.6
16.625,0.216,0.007,-3.97,19.88,-14.38,0,0,0,0,5.6
16.681,0.241,0.015,-5.94,20.91,-17.14,0,0,0,0,3.3
17.234,0.251,0.012,-6.37,20.7,-17.5,0,0,0,0,0.0
17.265,0.258,0.012,-4.87,18.27,-16.59,0,0,0,0,0.0
17.291,0.267,0.008,-5.26,18.45,-15.57,0,0,0,0,0.0
17.32,0.263,0.007,-5.62,17.77,-15.44,0,0,0,0,0.0
17.602,0.238,0.008,-6.52,17.34,-13.98,0,0,0,0,2.2
17.622,0.268,0.009,-6.44,14.29,-13.25,0,0,0,0,0.0
17.666,0.265,0.016,-6.86,14.16,-12.84,0,0,0,0,0.0
17.695,0.257,0.009,-6.88,13.87,-12.57,0,0,0,0,0.0
17.918,0.27,0.011,-7.29,13.98,-12.36,0,0,0,0,0.0
17.941,0.247,0.009,-9.16,10.42,-15.69,0,0,0,0,1.2
17.977,0.265,0.012,-7.91,8.81,-14.49,0,0,0,0,0.0
18.005,0.271,0.009,-7.51,7.08,-13.53,0,0,0,0,0.0
18.257,0.268,0.014,-8.42,5.55,-13.47,0,0,0,0,0.0
18.285,0.293,0.007,-5.36,-7.01,-7.38,0,0,0,0,0.0
18.306,0.293,0.02,-0.73,-8.03,-4.25,0,0,0,0,0.0
18.341,0.299,0.014,-1.86,-9.27,-4.23,0,0,0,0,0.0
18.584,0.31,0.017,-0.36,-8.96,-3.56,0,0,0,0,0.0
18.609,0.307,0.017,-1.22,-7.21,-3.56,0,0,0,0,0.0
18.645,0.3,0.015,-3.77,-8.01,-4.35,0,0,0,0,0.0
18.677,0.301,0.031,-1.35,-7.19,-3.81,0,0,0,0,0.0
19.102,0.284,0.017,-1.75,-7.78,-3.28,0,0,0,0,0.0
19.135,0.312,0.018,-0.98,-6.85,-4.17,0,0,0,0,0.0
19.169,0.308,0.01,-0.69,-7.16,-2.98,0,0,0,0,0.0
