time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
5.511,0.323,0.017,-11.71,-4.01,7.8,0,0,0,0,0.0
5.576,0.324,0.036,22.94,-6.99,-0.3,0,0,0,0,0.0
5.588,0.321,0.011,25.72,-6.38,-2.16,0,0,0,0,0.0
5.826,0.301,0.017,-11.47,-4.03,6.69,0,0,0,0,0.0
5.847,0.283,0.014,-7.91,-3.35,12.53,0,0,0,0,0.0
5.878,0.288,0.007,-10.79,-4.26,10.78,0,0,0,0,0.0
5.894,0.305,0.014,-10.15,-3.37,8.6,0,0,0,0,0.0
6.006,0.305,0.024,21.08,-6.41,-2.9,0,0,0,0,0.0
6.029,0.309,0.016,24.77,-4.94,4.96,0,0,0,0,0.0
6.046,0.292,0.016,22.98,-5.68,2.29,0,0,0,0,0.0
6.064,0.298,0.009,20.39,-6.61,1.34,0,0,0,0,0.0
6.185,0.3,0.01,18.65,-7.26,-0.9,0,0,0,0,0.0
6.198,0.322,0.006,15.02,-4.32,0.13,0,0,0,0,0.0
6.22,0.306,0.011,12.9,-3.82,-0.38,0,0,0,0,0.0
6.253,0.322,0.008,12.71,-3.12,-3.22,0,0,0,0,0.0
6.373,0.328,0.008,11.9,-2.59,-2.14,0,0,0,0,0.0
6.397,0.32,0.005,9.83,-1.67,-2.45,0,0,0,0,0.0
6.427,0.333,0.01,9.87,-1.59,-5.28,0,0,0,0,0.0
6.446,0.342,0.021,8.63,-0.56,-4.55,0,0,0,0,0.0
6.582,0.331,0.016,8.88,-0.91,-4.1,0,0,0,0,0.0
6.611,0.341,0.009,8.56,-1.22,-2.22,0,0,0,0,0.0
6.627,0.349,0.01,7.38,-1.86,-1.24,0,0,0,0,0.0
6.642,0.367,0.006,6.8,-2.08,-0.32,0,0,0,0,0.0
6.778,0.355,0.009,6.94,-2.18,-0.25,0,0,0,0,0.0
6.796,0.32,0.009,6.08,-0.93,-0.89,0,0,0,0,0.0
6.829,0.315,0.009,6.94,-1.07,-0.04,0,0,0,0,0.0
6.861,0.351,0.007,7.31,-0.6,-1.8,0,0,0,0,0.0
6.986,0.352,0.007,6.2,-0.55,-0.93,0,0,0,0,0.0
7.001,0.357,0.013,2.89,-0.72,-2.5,0,0,0,0,0.0
7.035,0.354,0.021,6.53,-0.86,-0.53,0,0,0,0,0.0
7.099,0.366,0.02,5.85,-0.43,-0.52,0,0,0,0,0.0
7.241,0.344,0.012,6.11,-0.35,-0.68,0,0,0,0,0.0
7.259,0.252,0.027,5.27,-2.64,-2.82,0,0,0,0,0.0
7.29,0.296,0.009,3.89,-1.81,-2.97,0,0,0,0,0.0
7.324,0.293,0.003,3.88,-2.22,-0.05,0,0,0,0,0.0
7.447,0.29,0.003,4.06,-2.1,-0.07,0,0,0,0,0.0
7.46,0.308,0.005,3.76,-2.37,0.9,0,0,0,0,0.0
7.473,0.322,0.006,4.81,-2.36,-0.31,0,0,0,0,0.0
