time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
7.389,0.236,0.014,3.89,14.34,-16.3,0,0,0,0,2.5
7.533,0.211,0.01,4.69,12.7,-16.77,0,0,0,0,6.1
7.571,0.222,0.002,3.11,13.99,-17.04,0,0,0,0,5.6
7.9,0.23,0.006,3.14,13.94,-16.2,0,0,0,0,5.3
7.928,0.291,0.003,7.55,14.43,-17.76,0,0,0,0,0.0
7.951,0.25,0.008,3.69,14.58,-14.71,0,0,0,0,0.0
7.975,0.264,0.007,3.54,14.63,-15.55,0,0,0,0,0.0
8.121,0.27,0.006,4.19,15.02,-17.51,0,0,0,0,0.0
8.161,0.278,0.008,3.51,15.68,-15.37,0,0,0,0,0.0
8.197,0.266,0.009,3.48,15.48,-14.83,0,0,0,0,0.0
8.221,0.291,0.008,2.02,14.88,-15.11,0,0,0,0,0.0
8.388,0.268,0.012,3.16,15.05,-14.83,0,0,0,0,0.0
8.412,0.219,0.006,4.97,11.28,-12.63,0,0,0,0,4.5
8.438,0.217,0.004,4.23,9.03,-14.93,0,0,0,0,5.5
8.463,0.249,0.011,3.94,6.22,-13.52,0,0,0,0,2.4
8.672,0.264,0.021,1.49,6.71,-15.02,0,0,0,0,0.0
8.695,0.28,0.015,1.92,2.31,-18.97,0,0,0,0,0.0
8.72,0.255,0.014,1.25,2.4,-16.23,0,0,0,0,0.0
8.749,0.234,0.01,0.74,2.84,-15.31,0,0,0,0,2.7
8.924,0.274,0.009,1.18,2.42,-16.5,0,0,0,0,0.0
8.949,0.199,0.007,3.22,0.71,-14.93,0,0,0,0,6.9
8.974,0.211,0.01,4.44,0.58,-16.26,0,0,0,0,6.2
8.999,0.243,0.013,1.81,2.59,-16.05,0,0,0,0,3.1
9.153,0.24,0.02,2.07,2.45,-18.19,0,0,0,0,4.2
9.177,0.282,0.018,-1.32,2.42,-14.35,0,0,0,0,0.0
9.203,0.255,0.02,0.15,1.52,-14.69,0,0,0,0,0.0
9.227,0.26,0.017,0.27,1.39,-15.0,0,0,0,0,0.0
9.356,0.278,0.021,2.09,1.87,-14.99,0,0,0,0,0.0
9.393,0.199,0.012,-0.03,1.34,-13.35,0,0,0,0,6.8
9.428,0.233,0.011,0.31,0.3,-17.48,0,0,0,0,3.6
9.455,0.235,0.008,0.48,0.29,-12.82,0,0,0,0,4.0
9.59,0.233,0.013,0.24,2.45,-19.19,0,0,0,0,5.1
9.613,0.282,0.017,0.44,1.68,-14.64,0,0,0,0,0.0
9.646,0.289,0.009,-0.4,1.43,-17.32,0,0,0,0,0.0
9.668,0.264,0.02,-0.12,1.53,-15.98,0,0,0,0,0.0
9.805,0.27,0.009,-0.1,1.86,-16.36,0,0,0,0,0.0
9.828,0.273,0.007,-0.52,1.22,-17.13,0,0,0,0,0.0
9.85,0.215,0.007,1.44,0.41,-16.09,0,0,0,0,4.9
9.886,0.244,0.021,-0.69,0.22,-15.02,0,0,0,0,2.2
10.021,0.247,0.024,0.72,1.21,-14.87,0,0,0,0,2.7
10.042,0.26,0.01,-0.67,1.2,-14.31,0,0,0,0,0.0
10.077,0.268,0.01,1.16,0.63,-14.41,0,0,0,0,0.0
10.11,0.278,0.013,1.84,0.91,-16.41,0,0,0,0,0.0
10.287,0.262,0.016,0.1,1.38,-13.66,0,0,0,0,0.0
10.311,0.235,0.015,-0.16,0.25,-13.47,0,0,0,0,2.5
10.335,0.213,0.008,2.77,-0.2,-16.8,0,0,0,0,6.0
10.36,0.212,0.01,-0.38,1.53,-16.12,0,0,0,0,6.8
10.513,0.271,0.014,0.3,1.0,-15.25,0,0,0,0,0.0
10.537,0.241,0.007,-0.56,1.16,-17.01,0,0,0,0,1.8
10.574,0.221,0.014,1.45,-0.71,-14.08,0,0,0,0,5.0
10.605,0.205,0.013,0.29,-0.23,-14.32,0,0,0,0,7.7
10.743,0.188,0.015,0.36,-0.46,-15.35,0,0,0,0,10.4
10.765,0.269,0.013,0.78,1.6,-13.26,0,0,0,0,0.0
10.786,0.253,0.019,1.3,1.27,-16.4,0,0,0,0,0.0
10.813,0.261,0.043,1.27,1.85,-15.67,0,0,0,0,0.0
10.961,0.255,0.015,0.58,1.4,-14.47,0,0,0,0,0.0
10.999,0.211,0.018,0.9,-0.49,-13.85,0,0,0,0,5.4
11.02,0.202,0.057,0.57,0.64,-14.12,0,0,0,0,7.2
11.052,0.228,0.012,2.24,0.42,-18.58,0,0,0,0,4.9
11.237,0.227,0.016,-0.44,1.73,-14.56,0,0,0,0,5.8
11.263,0.262,0.021,-0.62,2.39,-13.97,0,0,0,0,0.0
11.287,0.262,0.24,-1.4,2.66,-13.9,0,0,0,0,0.0
11.316,0.237,0.181,-1.49,2.47,-11.8,0,0,0,0,2.3
11.473,0.26,0.266,-0.35,2.29,-15.3,0,0,0,0,0.0
11.498,0.262,0.678,-1.19,2.22,-14.52,0,0,0,0,10.0
11.516,0.248,0.564,-0.0,2.52,-15.01,0,0,0,0,1.0
11.543,0.228,0.535,-1.99,2.03,-13.18,0,0,0,0,4.1
11.713,0.233,0.711,-0.8,1.46,-14.61,0,0,0,0,14.3
11.738,0.218,0.422,-1.96,1.63,-14.19,0,0,0,0,6.8
11.774,0.228,0.438,-2.9,1.65,-14.44,0,0,0,0,6.4
11.806,0.248,0.585,-1.2,1.81,-15.26,0,0,0,0,4.8
11.954,0.244,0.759,-3.08,2.19,-15.01,0,0,0,0,16.0
11.978,0.224,0.622,-1.51,2.27,-13.54,0,0,0,0,9.1
12.013,0.222,0.555,-1.86,2.2,-14.22,0,0,0,0,10.1
12.048,0.236,0.614,-1.81,1.96,-14.98,0,0,0,0,9.2
12.189,0.245,0.667,-3.69,2.82,-14.82,0,0,0,0,18.8
12.218,0.231,0.803,-1.97,1.98,-14.9,0,0,0,0,21.3
12.241,0.202,0.654,-2.95,2.0,-14.27,0,0,0,0,25.5
12.272,0.255,0.711,-2.66,1.75,-13.96,0,0,0,0,10.0
