time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
7.346,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.508,0.205,0.015,5.62,-4.33,40.68,0,0,0,0,6.2
7.548,0.255,0.015,5.3,-2.41,36.14,0,0,0,0,0.0
8.079,0.249,0.006,6.15,-2.85,35.27,0,0,0,0,0.9
8.105,0.292,0.006,8.29,-1.69,14.93,0,0,0,0,0.0
8.172,0.298,0.008,3.51,-2.23,3.23,0,0,0,0,0.0
8.192,0.311,0.009,3.41,-2.39,1.25,0,0,0,0,0.0
8.338,0.3,0.007,3.23,-2.29,1.71,0,0,0,0,0.0
8.357,0.307,0.004,3.21,-1.68,4.63,0,0,0,0,0.0
8.377,0.305,0.015,3.12,-1.26,4.34,0,0,0,0,0.0
8.396,0.301,0.011,2.73,-1.52,3.75,0,0,0,0,0.0
8.554,0.235,0.021,1.04,-1.21,-7.31,0,0,0,0,2.5
8.569,0.21,0.008,1.98,-1.14,-6.51,0,0,0,0,6.2
8.594,0.224,0.009,1.54,-1.03,-5.92,0,0,0,0,5.4
8.665,0.259,0.008,2.76,-1.03,-4.46,0,0,0,0,0.0
8.774,0.276,0.008,2.83,-1.28,-4.6,0,0,0,0,0.0
8.808,0.306,0.011,2.44,-1.33,-1.52,0,0,0,0,0.0
8.857,0.304,0.008,0.33,-1.14,-1.53,0,0,0,0,0.0
8.876,0.291,0.007,0.24,-0.78,-1.58,0,0,0,0,0.0
8.988,0.282,0.007,0.41,-0.85,-1.19,0,0,0,0,0.0
9.008,0.249,0.01,0.05,-0.41,-3.2,0,0,0,0,0.8
9.022,0.242,0.011,-0.02,-0.3,-6.82,0,0,0,0,2.5
9.039,0.241,0.011,-0.05,-0.29,-6.56,0,0,0,0,3.4
9.155,0.219,0.009,0.65,-0.47,-5.54,0,0,0,0,6.8
9.174,0.266,0.008,2.01,-0.57,-1.28,0,0,0,0,0.0
9.19,0.254,0.009,1.45,-0.43,-0.12,0,0,0,0,0.0
9.272,0.274,0.008,0.67,-0.54,-1.58,0,0,0,0,0.0
9.387,0.262,0.008,0.64,-0.3,-1.4,0,0,0,0,0.0
9.408,0.296,0.01,0.98,-0.82,0.41,0,0,0,0,0.0
9.462,0.319,0.006,1.69,-0.62,-1.08,0,0,0,0,0.0
9.481,0.318,0.005,1.65,-0.39,-1.47,0,0,0,0,0.0
9.588,0.313,0.005,1.94,-0.26,-1.18,0,0,0,0,0.0
9.609,0.299,0.008,1.91,-0.59,1.4,0,0,0,0,0.0
9.627,0.297,0.007,1.82,-0.79,0.96,0,0,0,0,0.0
9.644,0.3,0.007,1.97,-0.69,1.09,0,0,0,0,0.0
9.764,0.292,0.007,2.07,-1.89,-1.36,0,0,0,0,0.0
9.789,0.3,0.002,3.3,-0.39,0.91,0,0,0,0,0.0
9.808,0.294,0.003,3.14,-0.59,0.91,0,0,0,0,0.0
9.864,0.278,0.015,3.7,-1.3,0.64,0,0,0,0,0.0
9.971,0.281,0.017,3.65,-0.52,1.54,0,0,0,0,0.0
9.994,0.207,0.004,3.68,-0.97,1.86,0,0,0,0,5.9
10.07,0.265,0.005,1.2,-1.26,-0.1,0,0,0,0,0.0
10.088,0.264,0.004,1.29,-1.08,-0.29,0,0,0,0,0.0
10.195,0.264,0.004,1.15,-1.1,0.2,0,0,0,0,0.0
10.226,0.301,0.016,0.93,-0.48,0.44,0,0,0,0,0.0
10.243,0.306,0.012,1.57,-0.6,1.87,0,0,0,0,0.0
10.261,0.295,0.013,1.5,-0.43,1.72,0,0,0,0,0.0
10.364,0.295,0.004,0.92,-0.88,-0.89,0,0,0,0,0.0
10.394,0.282,0.016,0.98,-1.35,1.34,0,0,0,0,0.0
10.412,0.293,0.009,0.86,-1.18,1.6,0,0,0,0,0.0
10.431,0.293,0.009,0.9,-1.19,1.54,0,0,0,0,0.0
10.585,0.28,0.019,2.19,-0.59,2.03,0,0,0,0,0.0
10.611,0.205,0.008,2.38,-1.5,-1.21,0,0,0,0,6.1
10.671,0.283,0.004,1.92,-0.54,1.18,0,0,0,0,0.0
10.688,0.298,0.006,2.62,-0.76,-0.2,0,0,0,0,0.0
10.866,0.291,0.005,2.77,-0.97,0.65,0,0,0,0,0.0
10.885,0.276,0.009,3.16,-0.68,3.04,0,0,0,0,0.0
10.907,0.298,0.013,3.48,-1.07,0.07,0,0,0,0,0.0
10.929,0.298,0.011,3.65,-0.95,-0.22,0,0,0,0,0.0
11.082,0.293,0.004,2.07,-1.65,1.99,0,0,0,0,0.0
11.097,0.192,0.013,2.74,-1.96,-1.81,0,0,0,0,7.7
11.114,0.184,0.013,2.58,-1.91,-1.49,0,0,0,0,9.4
11.161,0.277,0.01,1.47,-0.6,1.46,0,0,0,0,0.0
11.287,0.292,0.01,1.31,-0.83,-0.22,0,0,0,0,0.0
11.306,0.299,0.006,1.8,-1.01,1.6,0,0,0,0,0.0
