time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
5.655,0.262,0.005,10.88,-3.66,34.74,0,0,0,0,0.0
5.718,0.234,0.01,11.42,-5.39,6.28,0,0,0,0,2.6
5.744,0.256,0.01,11.49,-3.81,34.28,0,0,0,0,0.0
6.09,0.247,0.013,14.63,-4.34,35.39,0,0,0,0,1.1
6.108,0.296,0.067,13.16,-4.59,39.86,0,0,0,0,0.0
6.124,0.277,0.057,13.61,-5.05,41.98,0,0,0,0,0.0
6.152,0.288,0.032,12.64,-3.67,38.09,0,0,0,0,0.0
6.27,0.284,0.005,3.9,-3.38,10.02,0,0,0,0,0.0
6.29,0.319,0.153,17.74,-4.83,34.62,0,0,0,0,0.0
6.309,0.328,0.023,13.98,-4.65,29.52,0,0,0,0,0.0
6.323,0.327,0.006,14.46,-3.99,25.46,0,0,0,0,0.0
6.423,0.332,0.005,12.53,-4.37,28.71,0,0,0,0,0.0
6.44,0.323,0.007,13.7,-4.49,24.14,0,0,0,0,0.0
6.456,0.321,0.003,14.14,-4.34,26.17,0,0,0,0,0.0
6.478,0.303,0.006,14.2,-4.9,24.86,0,0,0,0,0.0
6.575,0.327,0.003,15.45,-4.76,22.48,0,0,0,0,0.0
6.686,0.336,0.003,14.36,-5.12,26.06,0,0,0,0,0.0
6.705,0.341,0.005,16.47,-5.35,20.0,0,0,0,0,0.0
6.719,0.342,0.009,15.67,-5.32,23.05,0,0,0,0,0.0
6.819,0.319,0.011,2.66,-3.59,2.95,0,0,0,0,0.0
6.839,0.28,0.009,3.06,-2.36,0.18,0,0,0,0,0.0
6.858,0.295,0.004,19.81,-4.34,14.8,0,0,0,0,0.0
6.89,0.309,0.011,3.86,-2.11,0.33,0,0,0,0,0.0
6.996,0.322,0.015,4.98,-2.08,-3.34,0,0,0,0,0.0
7.019,0.319,0.003,4.18,-2.03,-2.63,0,0,0,0,0.0
7.031,0.32,0.004,4.14,-1.76,-6.06,0,0,0,0,0.0
7.054,0.319,0.008,3.77,-1.5,-4.95,0,0,0,0,0.0
7.146,0.304,0.007,3.75,-1.73,-4.45,0,0,0,0,0.0
7.173,0.302,0.01,4.4,-1.54,-5.48,0,0,0,0,0.0
7.189,0.312,0.018,2.03,-1.41,-6.18,0,0,0,0,0.0
7.22,0.325,0.052,2.06,-0.89,-4.71,0,0,0,0,0.0
7.315,0.321,0.013,2.53,0.26,-4.71,0,0,0,0,0.0
7.34,0.324,0.018,3.95,0.82,-4.07,0,0,0,0,0.0
7.355,0.327,0.054,3.82,1.09,-4.24,0,0,0,0,0.0
7.384,0.317,0.002,4.73,0.85,-4.85,0,0,0,0,0.0
7.508,0.321,0.008,3.68,1.08,-4.55,0,0,0,0,0.0
7.537,0.332,0.007,3.85,1.11,-4.4,0,0,0,0,0.0
7.557,0.313,0.012,3.58,0.83,-4.43,0,0,0,0,0.0
7.57,0.32,0.042,4.22,0.97,-2.27,0,0,0,0,0.0
7.681,0.324,0.006,5.31,0.79,-3.67,0,0,0,0,0.0
7.695,0.297,0.004,21.44,-2.29,15.34,0,0,0,0,0.0
7.718,0.314,0.007,21.56,-1.82,13.49,0,0,0,0,0.0
7.752,0.298,0.008,5.85,0.62,-2.66,0,0,0,0,0.0
7.862,0.308,0.006,6.62,0.6,-2.88,0,0,0,0,0.0
7.889,0.31,0.008,7.01,0.33,-4.15,0,0,0,0,0.0
7.918,0.287,0.004,5.23,1.07,-7.82,0,0,0,0,0.0
7.938,0.269,0.005,4.61,1.61,-9.47,0,0,0,0,0.0
8.031,0.241,0.005,5.27,0.07,-4.53,0,0,0,0,1.8
8.054,0.238,0.006,4.09,0.59,-8.55,0,0,0,0,3.0
8.073,0.263,0.01,1.89,0.99,-9.78,0,0,0,0,0.0
8.087,0.284,0.019,3.06,0.08,-6.92,0,0,0,0,0.0
8.179,0.274,0.006,1.48,0.91,-4.71,0,0,0,0,0.0
8.204,0.304,0.006,1.84,0.61,-5.08,0,0,0,0,0.0
8.221,0.312,0.005,0.29,0.92,-5.01,0,0,0,0,0.0
8.237,0.303,0.008,1.28,1.0,-4.05,0,0,0,0,0.0
8.336,0.319,0.006,1.33,1.6,-2.46,0,0,0,0,0.0
8.37,0.342,0.005,1.75,1.5,-3.05,0,0,0,0,0.0
8.388,0.302,0.007,1.49,1.59,-2.93,0,0,0,0,0.0
8.404,0.326,0.002,1.86,2.59,-3.3,0,0,0,0,0.0
8.504,0.318,0.005,2.22,2.92,-4.91,0,0,0,0,0.0
8.522,0.31,0.004,2.05,3.3,-7.95,0,0,0,0,0.0
8.569,0.323,0.004,2.38,2.95,-7.43,0,0,0,0,0.0
