time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
6.945,0.232,0.005,13.82,-4.86,8.94,0,0,0,0,3.0
7.104,0.265,0.017,12.56,-2.76,34.1,0,0,0,0,0.0
7.138,0.212,0.008,11.58,-5.22,11.52,0,0,0,0,5.3
7.599,0.241,0.009,12.63,-3.73,37.2,0,0,0,0,2.6
7.611,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.648,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.66,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.811,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.821,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.865,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.06,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.085,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.104,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.129,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.299,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.327,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.353,0.197,0.006,18.22,-2.33,39.02,0,0,0,0,7.1
8.374,0.227,0.009,19.84,-1.81,36.19,0,0,0,0,4.3
8.494,0.177,0.01,20.55,-2.81,42.29,0,0,0,0,11.0
8.519,0.188,0.008,21.32,-2.07,40.56,0,0,0,0,10.4
8.551,0.229,0.005,3.75,1.15,3.33,0,0,0,0,6.2
8.596,0.256,0.013,21.96,-2.36,17.82,0,0,0,0,0.0
8.703,0.255,0.009,20.84,-1.74,16.78,0,0,0,0,0.0
8.722,0.232,0.019,0.57,1.93,1.5,0,0,0,0,2.9
8.732,0.217,0.013,1.24,1.77,2.97,0,0,0,0,5.5
8.754,0.236,0.013,0.73,1.78,-6.04,0,0,0,0,3.9
8.848,0.229,0.01,0.04,2.25,-4.93,0,0,0,0,5.5
8.88,0.313,0.012,1.04,3.47,-11.55,0,0,0,0,0.0
8.931,0.292,0.009,0.94,2.56,-10.03,0,0,0,0,0.0
8.966,0.312,0.007,0.6,2.58,-9.96,0,0,0,0,0.0
9.076,0.306,0.01,1.87,1.75,-9.89,0,0,0,0,0.0
9.107,0.296,0.015,0.92,1.88,-9.89,0,0,0,0,0.0
9.124,0.303,0.006,-0.01,1.68,-12.19,0,0,0,0,0.0
9.143,0.3,0.004,1.44,0.81,-14.41,0,0,0,0,0.0
9.297,0.301,0.006,0.78,0.1,-10.66,0,0,0,0,0.0
9.316,0.287,0.005,0.87,-0.76,-10.44,0,0,0,0,0.0
9.332,0.294,0.007,1.29,-0.46,-9.97,0,0,0,0,0.0
9.349,0.291,0.021,0.73,-0.87,-10.62,0,0,0,0,0.0
9.451,0.323,0.009,1.27,-2.16,-7.98,0,0,0,0,0.0
9.477,0.302,0.009,1.43,-2.23,-6.1,0,0,0,0,0.0
9.494,0.303,0.008,2.29,-2.51,-10.47,0,0,0,0,0.0
9.51,0.303,0.006,1.77,-2.31,-11.02,0,0,0,0,0.0
9.623,0.222,0.007,0.51,-3.5,-10.67,0,0,0,0,4.1
9.637,0.206,0.007,1.55,-3.54,-9.13,0,0,0,0,6.8
9.654,0.263,0.007,2.99,-2.73,-8.73,0,0,0,0,0.0
9.672,0.263,0.012,3.04,-0.73,-10.36,0,0,0,0,0.0
9.786,0.268,0.001,1.52,-0.37,-7.39,0,0,0,0,0.0
9.814,0.304,0.006,2.87,-1.42,-10.63,0,0,0,0,0.0
9.828,0.333,0.012,4.62,-1.46,-5.82,0,0,0,0,0.0
9.858,0.299,0.011,3.31,-1.43,-6.35,0,0,0,0,0.0
9.992,0.298,0.005,3.51,-1.12,-7.4,0,0,0,0,0.0
10.023,0.302,0.006,2.49,-1.46,-6.22,0,0,0,0,0.0
10.039,0.284,0.006,1.73,-0.96,-7.23,0,0,0,0,0.0
10.059,0.32,0.011,2.62,-0.81,-5.04,0,0,0,0,0.0
10.171,0.298,0.009,3.88,-1.98,-6.8,0,0,0,0,0.0
10.195,0.314,0.004,2.65,-1.66,-5.22,0,0,0,0,0.0
10.222,0.313,0.006,3.0,-1.8,-7.14,0,0,0,0,0.0
10.24,0.29,0.009,4.01,-1.62,-8.46,0,0,0,0,0.0
10.36,0.334,0.008,1.7,-1.64,-7.02,0,0,0,0,0.0
10.387,0.316,0.002,3.84,-1.69,-4.96,0,0,0,0,0.0
10.403,0.313,0.013,2.59,-1.68,-6.22,0,0,0,0,0.0
10.418,0.296,0.005,2.78,-2.0,-9.28,0,0,0,0,0.0
10.528,0.318,0.004,3.73,-1.9,-5.24,0,0,0,0,0.0
10.55,0.322,0.006,4.64,-2.24,-3.51,0,0,0,0,0.0
10.568,0.317,0.008,4.26,-1.69,-7.92,0,0,0,0,0.0
10.612,0.325,0.007,3.49,-2.99,-3.76,0,0,0,0,0.0
10.73,0.318,0.004,3.53,-1.92,-5.69,0,0,0,0,0.0
10.754,0.299,0.002,3.76,-1.78,-3.67,0,0,0,0,0.0
10.774,0.299,0.003,3.15,-2.14,-2.88,0,0,0,0,0.0
10.792,0.302,0.006,3.41,-1.46,-3.92,0,0,0,0,0.0
10.897,0.296,0.006,2.98,-2.58,-2.22,0,0,0,0,0.0
10.922,0.175,0.014,3.38,-3.08,-5.19,0,0,0,0,9.8
10.941,0.185,0.002,3.53,-4.75,-0.56,0,0,0,0,9.2
10.978,0.216,0.002,3.11,-3.28,-0.5,0,0,0,0,6.4
11.1,0.281,0.012,3.68,-3.23,1.62,0,0,0,0,0.0
11.124,0.273,0.013,5.43,-3.0,-0.21,0,0,0,0,0.0
11.138,0.318,0.003,5.47,-2.59,1.3,0,0,0,0,0.0
11.152,0.288,0.008,4.67,-3.52,3.41,0,0,0,0,0.0
11.255,0.302,0.012,4.35,-3.25,3.01,0,0,0,0,0.0
11.283,0.299,0.013,4.12,-3.25,2.63,0,0,0,0,0.0
11.299,0.306,0.005,4.49,-2.95,4.18,0,0,0,0,0.0
11.346,0.305,0.003,5.31,-2.33,1.89,0,0,0,0,0.0
11.458,0.332,0.002,5.36,-3.78,0.63,0,0,0,0,0.0
11.474,0.303,0.003,4.87,-3.42,4.07,0,0,0,0,0.0
11.488,0.322,0.01,12.63,-3.94,22.11,0,0,0,0,0.0
11.503,0.316,0.009,5.13,-2.99,2.96,0,0,0,0,0.0
11.602,0.309,0.012,12.65,-3.41,21.68,0,0,0,0,0.0
11.619,0.28,0.009,4.55,-4.17,1.78,0,0,0,0,0.0
11.635,0.174,0.03,4.8,-4.96,3.63,0,0,0,0,9.8
11.651,0.153,0.013,5.21,-3.89,3.69,0,0,0,0,13.1
11.745,0.212,0.003,4.41,-5.15,0.45,0,0,0,0,6.8
11.769,0.208,0.005,5.45,-2.95,1.54,0,0,0,0,8.1
11.785,0.266,0.026,4.08,-4.59,-1.42,0,0,0,0,0.0
11.801,0.268,0.013,4.42,-3.57,2.64,0,0,0,0,0.0
11.893,0.276,0.01,5.55,-3.45,4.12,0,0,0,0,0.0
11.918,0.313,0.013,3.93,-3.72,-1.65,0,0,0,0,0.0
11.939,0.328,0.007,5.14,-2.93,-0.93,0,0,0,0,0.0
11.969,0.291,0.004,5.62,-4.46,-0.55,0,0,0,0,0.0
12.084,0.278,0.009,5.69,-4.18,-2.44,0,0,0,0,0.0
12.116,0.318,0.005,2.66,-3.93,-0.92,0,0,0,0,0.0
12.134,0.315,0.01,4.85,-3.17,0.83,0,0,0,0,0.0
12.152,0.298,0.008,4.72,-4.18,-1.0,0,0,0,0,0.0
12.25,0.291,0.007,4.96,-3.87,-1.14,0,0,0,0,0.0
12.27,0.287,0.007,5.37,-5.13,-2.77,0,0,0,0,0.0
12.286,0.173,0.008,4.7,-5.65,-5.34,0,0,0,0,10.0
12.3,0.21,0.009,2.78,-5.06,-0.45,0,0,0,0,6.3
12.402,0.232,0.004,5.27,-3.84,-3.42,0,0,0,0,4.4
12.424,0.298,0.006,6.03,-4.17,-0.41,0,0,0,0,0.0
12.45,0.285,0.006,5.61,-4.69,0.86,0,0,0,0,0.0
12.482,0.299,0.008,5.86,-4.68,0.0,0,0,0,0,0.0
12.591,0.306,0.008,4.15,-4.35,-1.09,0,0,0,0,0.0
12.612,0.288,0.004,4.3,-4.01,0.58,0,0,0,0,0.0
12.632,0.303,0.011,4.64,-4.67,-2.33,0,0,0,0,0.0
12.649,0.291,0.002,5.18,-4.38,1.15,0,0,0,0,0.0
12.75,0.309,0.01,6.01,-4.55,2.36,0,0,0,0,0.0
12.779,0.282,0.005,4.17,-3.76,-3.68,0,0,0,0,0.0
12.8,0.308,0.01,5.66,-4.11,-0.29,0,0,0,0,0.0
12.82,0.258,0.011,5.75,-4.72,-0.77,0,0,0,0,0.0
12.918,0.205,0.012,4.34,-5.68,1.45,0,0,0,0,6.2
12.937,0.283,0.007,4.56,-4.33,1.0,0,0,0,0,0.0
12.954,0.309,0.003,5.09,-4.34,1.74,0,0,0,0,0.0
12.978,0.311,0.008,4.09,-4.84,-0.75,0,0,0,0,0.0
13.097,0.288,0.004,5.21,-3.89,1.01,0,0,0,0,0.0
13.123,0.273,0.008,5.16,-3.44,-2.45,0,0,0,0,0.0
13.139,0.3,0.009,4.77,-3.82,1.45,0,0,0,0,0.0
13.154,0.301,0.006,6.38,-4.2,-0.09,0,0,0,0,0.0
13.255,0.33,0.013,5.16,-3.48,-2.63,0,0,0,0,0.0
13.285,0.31,0.001,5.83,-4.23,-2.42,0,0,0,0,0.0
13.314,0.297,0.004,5.74,-3.97,-1.07,0,0,0,0,0.0
13.344,0.313,0.003,4.64,-4.2,-1.61,0,0,0,0,0.0
13.462,0.321,0.006,5.47,-3.35,2.83,0,0,0,0,0.0
13.492,0.308,0.005,4.73,-4.02,1.46,0,0,0,0,0.0
13.513,0.311,0.006,4.69,-4.29,-0.41,0,0,0,0,0.0
13.528,0.279,0.006,3.86,-4.18,-2.63,0,0,0,0,0.0
13.625,0.18,0.008,4.99,-4.57,-4.8,0,0,0,0,9.1
13.644,0.214,0.007,4.12,-5.45,-1.17,0,0,0,0,5.8
13.661,0.254,0.002,4.86,-3.84,0.44,0,0,0,0,0.0
13.678,0.204,0.012,3.5,-4.27,-5.91,0,0,0,0,6.3
13.779,0.259,0.007,5.3,-5.24,-2.07,0,0,0,0,0.0
13.792,0.298,0.013,5.46,-4.02,-1.29,0,0,0,0,0.0
13.825,0.276,0.005,5.08,-3.86,-0.3,0,0,0,0,0.0
