time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
7.459,0.221,0.016,10.11,-3.65,3.05,0,0,0,0,4.3
7.517,0.219,0.012,12.31,-3.47,1.65,0,0,0,0,5.3
7.549,0.233,0.008,9.85,-5.39,-3.11,0,0,0,0,4.3
8.096,0.224,0.009,7.79,-3.49,-9.01,0,0,0,0,6.1
8.117,0.278,0.018,12.8,-7.39,-4.17,0,0,0,0,0.0
8.155,0.311,0.009,12.54,-8.51,-6.25,0,0,0,0,0.0
8.186,0.319,0.012,15.3,-7.81,-3.41,0,0,0,0,0.0
8.511,0.327,0.005,13.27,-8.83,-5.38,0,0,0,0,0.0
8.542,0.327,0.005,14.07,-10.16,-5.34,0,0,0,0,0.0
8.574,0.309,0.006,15.54,-10.94,-4.8,0,0,0,0,0.0
8.605,0.311,0.003,18.44,-11.18,-3.18,0,0,0,0,0.0
9.009,0.318,0.004,18.41,-10.73,-1.87,0,0,0,0,0.0
9.065,0.323,0.007,20.98,-11.28,0.23,0,0,0,0,0.0
9.1,0.331,0.007,18.74,-11.51,-1.57,0,0,0,0,0.0
9.132,0.326,0.004,19.03,-11.47,-1.68,0,0,0,0,0.0
9.63,0.313,0.004,20.33,-12.11,-1.89,0,0,0,0,0.0
9.681,0.308,0.011,20.69,-12.3,-2.27,0,0,0,0,0.0
9.833,0.308,0.006,19.58,-12.03,-1.05,0,0,0,0,0.0
9.975,0.309,0.003,20.09,-11.56,-0.37,0,0,0,0,0.0
10.755,0.347,0.006,19.09,-11.32,-0.5,0,0,0,0,0.0
10.783,0.334,0.006,18.85,-11.8,-0.36,0,0,0,0,0.0
10.817,0.32,0.006,19.11,-11.55,-0.22,0,0,0,0,0.0
10.854,0.32,0.007,20.19,-11.02,0.65,0,0,0,0,0.0
11.696,0.312,0.008,21.07,-10.86,0.06,0,0,0,0,0.0
11.717,0.336,0.007,19.49,-8.66,2.12,0,0,0,0,0.0
11.744,0.286,0.007,17.09,-8.72,-0.76,0,0,0,0,0.0
11.778,0.29,0.009,16.72,-8.27,0.0,0,0,0,0,0.0
12.08,0.315,0.008,16.15,-8.28,-0.79,0,0,0,0,0.0
12.103,0.33,0.007,12.61,-5.61,0.05,0,0,0,0,0.0
12.122,0.319,0.009,12.21,-6.35,-3.22,0,0,0,0,0.0
12.151,0.313,0.006,11.32,-6.16,-2.94,0,0,0,0,0.0
12.409,0.317,0.01,12.84,-5.74,-0.59,0,0,0,0,0.0
12.426,0.31,0.01,9.09,-5.72,-1.88,0,0,0,0,0.0
12.457,0.318,0.009,8.89,-6.07,-2.77,0,0,0,0,0.0
12.48,0.308,0.015,8.98,-4.86,0.1,0,0,0,0,0.0
12.743,0.305,0.008,7.74,-4.84,-2.45,0,0,0,0,0.0
12.763,0.321,0.01,7.53,-3.91,-0.88,0,0,0,0,0.0
12.789,0.343,0.016,7.38,-3.91,0.45,0,0,0,0,0.0
12.816,0.351,0.007,9.1,-3.56,3.76,0,0,0,0,0.0
12.966,0.359,0.013,7.92,-3.45,1.65,0,0,0,0,0.0
12.985,0.33,0.012,9.55,-3.84,4.88,0,0,0,0,0.0
13.021,0.333,0.013,9.36,-4.32,1.63,0,0,0,0,0.0
13.048,0.336,0.013,8.76,-3.83,2.82,0,0,0,0,0.0
13.238,0.333,0.007,9.31,-3.32,2.69,0,0,0,0,0.0
13.265,0.146,0.009,7.6,-3.81,-3.63,0,0,0,0,13.2
13.292,0.252,0.003,7.98,-4.61,-5.01,0,0,0,0,0.0
13.335,0.29,0.006,8.45,-3.17,1.42,0,0,0,0,0.0
13.65,0.303,0.044,8.84,-3.64,0.91,0,0,0,0,0.0
13.671,0.299,0.01,8.55,-3.66,1.88,0,0,0,0,0.0
13.708,0.317,0.005,9.28,-3.61,0.38,0,0,0,0,0.0
