time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
5.578,0.251,0.412,14.41,-7.52,-9.46,0,0,0,0,0.0
5.643,0.275,0.345,9.08,-7.79,-11.4,0,0,0,0,0.0
5.659,0.242,0.273,9.72,-7.23,-14.16,0,0,0,0,1.7
5.9,0.254,0.178,12.01,-7.05,-12.86,0,0,0,0,0.0
5.918,0.28,0.023,9.71,-8.94,-13.07,0,0,0,0,0.0
5.938,0.276,0.004,8.01,-8.22,-12.54,0,0,0,0,0.0
5.964,0.256,0.004,9.45,-7.94,-12.5,0,0,0,0,0.0
6.078,0.263,0.007,8.51,-7.35,-11.36,0,0,0,0,0.0
6.1,0.249,0.004,9.63,-7.25,-11.87,0,0,0,0,0.9
6.12,0.249,0.007,8.23,-6.74,-11.93,0,0,0,0,1.6
6.137,0.249,0.002,8.44,-7.72,-13.73,0,0,0,0,2.4
6.244,0.24,0.014,6.09,-7.87,-13.71,0,0,0,0,4.2
6.268,0.257,0.016,7.63,-4.47,-9.33,0,0,0,0,0.0
6.296,0.253,0.017,7.86,-5.08,-8.29,0,0,0,0,0.0
6.329,0.256,0.011,7.5,-5.07,-10.22,0,0,0,0,0.0
6.476,0.241,0.008,7.81,-4.83,-8.55,0,0,0,0,1.9
6.496,0.239,0.005,5.16,-4.42,-8.22,0,0,0,0,2.8
6.514,0.26,0.006,6.26,-3.1,-6.64,0,0,0,0,0.0
6.543,0.248,0.02,5.6,-3.0,-7.31,0,0,0,0,0.9
6.706,0.242,0.014,4.74,-2.93,-6.21,0,0,0,0,2.4
6.724,0.27,0.018,4.04,-3.01,-0.39,0,0,0,0,0.0
6.744,0.278,0.009,1.98,-2.36,2.1,0,0,0,0,0.0
6.77,0.291,0.009,2.58,-2.76,3.94,0,0,0,0,0.0
6.896,0.303,0.015,1.88,-2.49,8.73,0,0,0,0,0.0
6.911,0.304,0.007,8.72,-2.21,19.71,0,0,0,0,0.0
6.93,0.287,0.008,9.51,-2.16,20.2,0,0,0,0,0.0
6.944,0.302,0.003,9.52,-1.92,18.64,0,0,0,0,0.0
7.069,0.317,0.008,8.91,-2.0,19.19,0,0,0,0,0.0
7.087,0.303,0.012,9.21,-2.46,17.29,0,0,0,0,0.0
7.113,0.298,0.017,8.46,-2.57,18.62,0,0,0,0,0.0
7.174,0.292,0.006,6.36,-2.14,20.29,0,0,0,0,0.0
