time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
8.824,0.214,0.083,-4.36,-1.97,14.36,0,0,0,0,5.1
9.008,0.196,0.008,-1.63,-1.41,31.03,0,0,0,0,7.9
9.029,0.221,0.003,-1.95,-1.62,31.34,0,0,0,0,5.7
9.72,0.197,0.003,-2.19,-1.82,32.18,0,0,0,0,9.4
9.741,0.272,0.006,1.2,-1.45,22.31,0,0,0,0,0.0
9.813,0.267,0.005,0.92,-1.22,25.59,0,0,0,0,0.0
9.831,0.268,0.007,0.77,-0.94,25.25,0,0,0,0,0.0
9.997,0.276,0.005,1.46,-0.94,29.52,0,0,0,0,0.0
10.017,0.281,0.003,1.89,-0.93,33.56,0,0,0,0,0.0
10.039,0.26,0.01,2.25,-0.83,33.71,0,0,0,0,0.0
10.059,0.265,0.011,2.46,-1.09,33.51,0,0,0,0,0.0
10.216,0.258,0.014,2.54,-0.73,33.85,0,0,0,0,0.0
10.23,0.271,0.008,2.46,-1.4,31.94,0,0,0,0,0.0
10.25,0.261,0.006,3.26,-1.79,28.86,0,0,0,0,0.0
10.271,0.259,0.009,3.58,-1.72,28.96,0,0,0,0,0.0
10.416,0.267,0.008,4.31,-2.16,27.1,0,0,0,0,0.0
10.436,0.276,0.004,-10.13,-2.82,13.08,0,0,0,0,0.0
10.466,0.286,0.005,10.78,-2.3,8.92,0,0,0,0,0.0
10.484,0.284,0.006,11.15,-2.21,9.42,0,0,0,0,0.0
10.626,0.297,0.006,12.21,-2.39,9.42,0,0,0,0,0.0
10.653,0.283,0.01,11.9,-2.8,11.68,0,0,0,0,0.0
10.664,0.278,0.007,11.48,-3.08,12.64,0,0,0,0,0.0
10.692,0.075,0.006,-11.33,-3.55,10.57,0,0,0,0,21.7
10.835,0.053,0.004,-10.76,-3.79,9.83,0,0,0,0,25.1
10.855,0.21,0.318,6.49,-4.5,39.69,0,0,0,0,7.0
10.897,0.219,0.29,6.97,-4.53,39.64,0,0,0,0,6.7
10.925,0.214,0.278,7.05,-4.63,41.35,0,0,0,0,8.1
11.083,0.209,0.295,7.36,-4.49,42.23,0,0,0,0,9.5
11.117,0.212,0.263,8.32,-4.66,44.75,0,0,0,0,9.8
11.138,0.213,0.269,8.88,-4.46,43.66,0,0,0,0,10.5
11.162,0.237,0.275,9.69,-4.42,44.15,0,0,0,0,8.3
11.303,0.219,0.271,9.93,-4.31,44.32,0,0,0,0,11.2
11.32,0.22,0.275,11.29,-4.68,46.07,0,0,0,0,11.8
11.339,0.226,0.235,11.58,-5.16,47.64,0,0,0,0,11.9
11.359,0.247,0.241,11.62,-5.62,47.39,0,0,0,0,10.2
11.503,0.249,0.254,12.61,-5.88,46.51,0,0,0,0,10.6
11.521,0.214,0.02,7.43,-4.77,32.21,0,0,0,0,15.6
11.544,0.114,0.005,2.81,-2.81,35.04,0,0,0,0,28.4
11.564,0.112,0.006,6.61,-3.48,14.15,0,0,0,0,29.3
11.699,0.069,0.017,8.02,-1.28,17.89,0,0,0,0,35.2
11.716,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
11.741,0.471,0.073,-59.99,11.86,14.1,0,0,0,0,0.0
11.757,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
11.947,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
11.96,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
11.97,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
11.995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.148,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.161,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.22,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.251,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.381,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.402,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.438,0.285,0.009,-30.55,-11.49,9.42,0,0,0,0,0.0
12.466,0.244,0.183,34.17,-3.88,-16.02,0,0,0,0,1.5
12.615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
12.638,0.411,0.015,-59.52,-21.77,-26.96,0,0,0,0,0.0
12.671,0.217,0.017,38.29,3.41,6.92,0,0,0,0,4.7
12.705,0.137,0.038,21.03,-4.06,1.1,0,0,0,0,15.0
12.857,0.109,0.018,13.7,-6.85,11.43,0,0,0,0,19.2
12.879,0.201,0.013,3.52,-1.84,-0.18,0,0,0,0,8.9
12.896,0.177,0.016,2.83,-2.13,-4.47,0,0,0,0,12.5
12.93,0.169,0.026,0.45,-1.79,-2.52,0,0,0,0,14.2
13.077,0.13,0.009,-1.11,-0.99,-4.03,0,0,0,0,19.7
13.094,0.138,0.03,-0.57,0.95,-2.62,0,0,0,0,19.4
13.111,0.146,0.154,-1.02,1.4,-2.32,0,0,0,0,19.2
13.128,0.166,0.059,-0.67,2.01,-1.22,0,0,0,0,17.6
13.265,0.193,0.269,-3.1,1.47,-2.55,0,0,0,0,15.1
13.283,0.194,0.174,-5.51,2.17,-4.68,0,0,0,0,15.7
13.301,0.202,0.175,-6.67,1.68,-6.51,0,0,0,0,15.5
13.32,0.192,0.164,-6.15,1.65,-6.67,0,0,0,0,17.5
13.447,0.195,0.122,-6.17,1.75,-8.17,0,0,0,0,17.9
13.465,0.203,0.006,-5.92,1.84,-8.32,0,0,0,0,17.7
13.484,0.208,0.004,-6.23,1.6,-8.15,0,0,0,0,17.8
13.515,0.185,0.005,-5.99,1.67,-6.07,0,0,0,0,21.3
13.649,0.203,0.007,-4.79,0.87,-6.71,0,0,0,0,19.9
13.677,0.133,0.012,-6.6,0.39,1.0,0,0,0,0,29.0
13.701,0.096,0.004,-4.07,0.85,2.0,1,0,0,0,43.4
13.727,0.074,0.005,-2.76,-0.58,6.4,1,0,0,0,46.1
13.927,0.077,0.006,-1.23,0.21,15.63,1,0,0,0,45.8
13.948,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
13.972,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.183,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.206,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.221,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.241,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.43,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.445,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.457,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.477,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.63,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.642,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.699,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.855,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.867,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.883,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14.898,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
15.021,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
