time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
7.856,0.185,0.101,-39.36,8.86,2.21,0,0,0,0,8.5
7.95,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
7.989,0.53,0.012,-73.81,10.44,7.45,0,0,0,0,0.0
8.414,0.571,0.035,-70.73,15.65,9.67,0,0,0,0,0.0
8.448,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
8.484,0.52,0.096,-73.89,25.6,23.45,0,0,0,0,0.0
8.515,0.634,0.025,-77.72,33.62,29.41,0,0,0,0,0.0
8.661,0.546,0.057,-77.85,35.74,35.11,0,0,0,0,0.0
8.7,0.58,0.014,-76.72,28.25,22.65,0,0,0,0,0.0
8.716,0.587,0.014,-75.24,29.73,23.42,0,0,0,0,0.0
8.746,0.469,0.015,-73.49,23.47,17.44,0,0,0,0,0.0
8.897,0.584,0.025,-73.8,23.84,16.88,0,0,0,0,0.0
8.93,0.513,0.044,-73.31,18.7,14.53,0,0,0,0,0.0
8.964,0.502,0.017,-71.15,17.79,13.88,0,0,0,0,0.0
8.995,0.253,0.006,-62.87,10.64,8.55,0,0,0,0,0.0
9.158,0.166,0.007,25.83,3.61,5.56,0,0,0,0,10.9
9.196,0.239,0.058,-2.51,-0.09,-9.15,0,0,0,0,2.8
9.229,0.237,0.045,-3.16,0.09,-7.39,0,0,0,0,3.8
9.291,0.248,0.153,-2.99,0.94,-7.38,0,0,0,0,3.2
9.41,0.239,0.247,-2.59,1.11,-7.21,0,0,0,0,5.1
9.447,0.234,0.031,-2.25,1.69,-3.57,0,0,0,0,6.4
9.479,0.234,0.007,-2.06,1.87,0.28,0,0,0,0,7.2
9.512,0.236,0.01,-2.9,2.6,-0.13,0,0,0,0,7.6
9.632,0.258,0.263,-2.73,3.12,-5.71,0,0,0,0,0.0
9.666,0.269,0.243,-3.11,3.3,-5.38,0,0,0,0,0.0
9.682,0.272,0.24,-2.7,3.52,-5.47,0,0,0,0,0.0
9.698,0.27,0.326,-2.57,3.23,-6.14,0,0,0,0,0.0
9.818,0.271,0.704,-4.56,2.79,-7.74,0,0,0,0,10.0
9.837,0.261,0.168,-1.91,1.57,-5.76,0,0,0,0,0.0
9.87,0.263,0.157,-2.02,1.27,-6.29,0,0,0,0,0.0
9.914,0.264,0.173,-2.2,1.46,-5.02,0,0,0,0,0.0
10.036,0.269,0.174,-2.06,1.42,-5.44,0,0,0,0,0.0
10.055,0.292,0.293,-1.39,2.16,-5.02,0,0,0,0,0.0
10.102,0.281,0.227,-0.28,2.13,-5.3,0,0,0,0,0.0
10.133,0.277,0.205,1.51,1.97,-7.09,0,0,0,0,0.0
10.257,0.279,0.209,3.47,2.25,-7.56,0,0,0,0,0.0
10.29,0.283,0.198,8.46,2.26,-5.13,0,0,0,0,0.0
