time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
7.563,0.292,0.008,12.33,-8.78,-0.59,0,0,0,0,0.0
7.699,0.262,0.006,13.57,-8.0,-1.31,0,0,0,0,0.0
7.731,0.29,0.007,13.74,-8.69,-3.49,0,0,0,0,0.0
8.246,0.286,0.006,13.08,-8.3,-1.83,0,0,0,0,0.0
8.292,0.287,0.004,1.7,-3.37,-2.13,0,0,0,0,0.0
8.325,0.234,0.007,1.79,-2.92,-3.23,0,0,0,0,2.7
8.36,0.232,0.008,1.98,-4.76,-1.17,0,0,0,0,3.6
8.49,0.232,0.004,3.31,-3.28,-1.74,0,0,0,0,4.4
8.513,0.32,0.016,2.18,-2.54,4.48,0,0,0,0,0.0
8.549,0.314,0.007,3.08,-2.76,4.54,0,0,0,0,0.0
8.566,0.312,0.006,2.19,-2.31,5.83,0,0,0,0,0.0
8.686,0.306,0.004,2.72,-2.18,6.97,0,0,0,0,0.0
8.712,0.311,0.008,3.24,-2.05,6.03,0,0,0,0,0.0
8.73,0.31,0.006,3.06,-2.03,6.42,0,0,0,0,0.0
8.758,0.314,0.01,2.77,-2.23,6.33,0,0,0,0,0.0
8.911,0.316,0.008,2.67,-1.87,7.67,0,0,0,0,0.0
8.932,0.307,0.007,3.96,-2.38,4.84,0,0,0,0,0.0
8.951,0.313,0.007,3.66,-2.37,4.7,0,0,0,0,0.0
8.968,0.264,0.008,2.8,-2.5,1.89,0,0,0,0,0.0
9.155,0.212,0.008,3.28,-2.36,0.98,0,0,0,0,5.3
9.171,0.308,0.008,2.55,-2.19,1.51,0,0,0,0,0.0
9.198,0.304,0.012,3.83,-1.58,2.4,0,0,0,0,0.0
9.224,0.3,0.007,3.27,-1.89,3.55,0,0,0,0,0.0
9.36,0.311,0.008,3.28,-1.79,2.86,0,0,0,0,0.0
9.377,0.304,0.005,3.74,-2.06,2.63,0,0,0,0,0.0
9.431,0.311,0.006,2.66,-2.12,0.84,0,0,0,0,0.0
9.465,0.315,0.008,2.95,-1.37,3.07,0,0,0,0,0.0
9.604,0.306,0.007,2.36,-1.43,0.88,0,0,0,0,0.0
9.623,0.304,0.005,2.62,-2.06,0.84,0,0,0,0,0.0
9.647,0.23,0.008,1.06,-1.63,0.09,0,0,0,0,3.1
9.668,0.246,0.003,2.98,-1.65,-3.48,0,0,0,0,2.0
9.796,0.29,0.006,3.99,-1.19,-0.42,0,0,0,0,0.0
9.812,0.313,0.004,2.73,-1.5,3.94,0,0,0,0,0.0
9.831,0.327,0.011,3.15,-1.51,1.59,0,0,0,0,0.0
9.847,0.343,0.009,3.13,-1.84,3.28,0,0,0,0,0.0
9.975,0.341,0.008,3.12,-1.56,3.28,0,0,0,0,0.0
9.994,0.361,0.006,3.16,-1.16,2.79,0,0,0,0,0.0
10.01,0.359,0.005,3.53,-1.19,3.09,0,0,0,0,0.0
10.03,0.352,0.006,3.13,-1.92,2.73,0,0,0,0,0.0
10.165,0.334,0.012,2.69,-1.62,2.27,0,0,0,0,0.0
10.175,0.336,0.003,4.34,-1.55,1.46,0,0,0,0,0.0
10.198,0.331,0.012,3.88,-1.23,1.92,0,0,0,0,0.0
10.211,0.282,0.008,3.33,-1.49,-0.99,0,0,0,0,0.0
10.337,0.207,0.004,2.63,-1.49,-0.48,0,0,0,0,5.9
10.361,0.207,0.007,4.92,-1.86,-1.29,0,0,0,0,6.6
10.378,0.291,0.008,3.4,-1.36,0.16,0,0,0,0,0.0
10.409,0.328,0.01,3.96,-1.52,2.48,0,0,0,0,0.0
10.542,0.339,0.012,3.61,-1.49,4.08,0,0,0,0,0.0
10.564,0.354,0.009,3.49,-1.33,3.89,0,0,0,0,0.0
10.583,0.318,0.006,3.57,-1.49,1.44,0,0,0,0,0.0
10.601,0.327,0.006,3.62,-1.53,2.5,0,0,0,0,0.0
10.718,0.337,0.01,4.33,-1.42,0.75,0,0,0,0,0.0
10.732,0.348,0.014,2.99,-1.3,2.69,0,0,0,0,0.0
10.747,0.302,0.008,2.82,-1.87,1.08,0,0,0,0,0.0
10.775,0.263,0.009,2.46,-1.5,-2.08,0,0,0,0,0.0
10.903,0.218,0.012,2.7,-1.92,-0.77,0,0,0,0,4.5
10.93,0.205,0.01,2.67,-1.06,-1.92,0,0,0,0,6.9
10.963,0.235,0.006,3.3,-0.88,-3.45,0,0,0,0,4.1
10.981,0.276,0.006,3.15,-1.66,0.08,0,0,0,0,0.0
11.101,0.301,0.007,3.61,-1.57,3.5,0,0,0,0,0.0
11.123,0.324,0.007,2.52,-2.22,4.2,0,0,0,0,0.0
11.143,0.315,0.011,2.27,-2.05,3.45,0,0,0,0,0.0
11.162,0.331,0.007,2.93,-1.97,2.57,0,0,0,0,0.0
11.275,0.324,0.009,3.96,-1.48,1.96,0,0,0,0,0.0
11.299,0.33,0.007,3.07,-1.41,4.47,0,0,0,0,0.0
11.313,0.34,0.008,3.37,-1.66,2.14,0,0,0,0,0.0
11.331,0.322,0.009,2.71,-1.45,1.11,0,0,0,0,0.0
11.441,0.317,0.012,3.45,-1.61,2.63,0,0,0,0,0.0
11.464,0.237,0.011,2.56,-2.44,-2.09,0,0,0,0,2.3
11.481,0.274,0.009,2.83,-1.69,0.12,0,0,0,0,0.0
11.511,0.301,0.008,2.93,-1.87,1.29,0,0,0,0,0.0
11.641,0.305,0.01,3.11,-1.72,1.03,0,0,0,0,0.0
11.66,0.306,0.013,3.5,-1.33,1.02,0,0,0,0,0.0
11.679,0.313,0.007,2.78,-1.84,1.51,0,0,0,0,0.0
11.711,0.318,0.014,3.3,-1.97,2.81,0,0,0,0,0.0
11.823,0.313,0.007,2.89,-2.27,3.18,0,0,0,0,0.0
11.846,0.342,0.012,3.81,-1.76,1.07,0,0,0,0,0.0
11.862,0.32,0.009,3.38,-1.98,2.85,0,0,0,0,0.0
11.879,0.308,0.009,3.48,-2.25,2.08,0,0,0,0,0.0
11.995,0.331,0.013,3.42,-1.93,2.96,0,0,0,0,0.0
12.013,0.311,0.005,2.91,-1.87,4.14,0,0,0,0,0.0
12.032,0.331,0.008,3.01,-1.98,-0.85,0,0,0,0,0.0
12.063,0.266,0.007,1.92,-2.66,2.52,0,0,0,0,0.0
12.165,0.209,0.009,1.33,-2.62,-2.29,0,0,0,0,5.6
12.193,0.319,0.007,3.47,-2.44,1.96,0,0,0,0,0.0
12.215,0.328,0.01,3.26,-2.15,1.3,0,0,0,0,0.0
12.247,0.311,0.009,3.16,-2.2,-0.22,0,0,0,0,0.0
12.365,0.334,0.009,3.8,-1.12,2.32,0,0,0,0,0.0
