time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
7.806,0.29,0.008,0.21,-6.31,25.45,0,0,0,0,0.0
7.913,0.301,0.015,2.17,-4.8,23.93,0,0,0,0,0.0
7.954,0.288,0.006,2.08,-5.24,27.11,0,0,0,0,0.0
8.496,0.307,0.005,1.32,-4.76,23.64,0,0,0,0,0.0
8.524,0.312,0.008,2.28,-5.81,24.76,0,0,0,0,0.0
8.546,0.309,0.01,2.15,-5.21,22.51,0,0,0,0,0.0
8.567,0.311,0.007,3.06,-5.86,25.21,0,0,0,0,0.0
8.705,0.3,0.007,2.89,-5.99,22.69,0,0,0,0,0.0
8.741,0.149,0.022,-0.21,-6.34,12.44,0,0,0,0,12.9
8.777,0.24,0.006,0.59,-3.8,23.8,0,0,0,0,2.7
8.794,0.272,0.008,1.72,-4.07,22.84,0,0,0,0,0.0
8.933,0.281,0.011,2.16,-4.46,23.52,0,0,0,0,0.0
8.959,0.317,0.006,4.84,-5.04,17.07,0,0,0,0,0.0
8.979,0.318,0.006,4.33,-3.22,21.86,0,0,0,0,0.0
9.011,0.326,0.009,6.43,-4.36,16.73,0,0,0,0,0.0
9.144,0.316,0.005,-0.61,-3.49,8.63,0,0,0,0,0.0
9.174,0.328,0.009,5.62,-3.28,18.71,0,0,0,0,0.0
9.209,0.329,0.004,-1.05,-2.46,8.83,0,0,0,0,0.0
9.229,0.357,0.011,-2.61,-2.84,7.59,0,0,0,0,0.0
9.364,0.339,0.002,9.87,-1.86,12.87,0,0,0,0,0.0
9.383,0.338,0.011,-1.83,-1.49,2.0,0,0,0,0,0.0
9.411,0.32,0.004,-3.36,-0.65,1.64,0,0,0,0,0.0
9.43,0.297,0.013,-2.49,-0.39,2.88,0,0,0,0,0.0
9.546,0.339,0.018,-3.2,1.63,1.83,0,0,0,0,0.0
9.569,0.32,0.006,-1.3,2.0,-1.46,0,0,0,0,0.0
9.586,0.318,0.004,-1.13,2.18,-4.16,0,0,0,0,0.0
9.622,0.262,0.004,-1.95,2.89,-4.65,0,0,0,0,0.0
9.741,0.261,0.026,-6.03,3.69,-6.22,0,0,0,0,0.0
9.763,0.31,0.006,-2.63,3.97,-5.04,0,0,0,0,0.0
9.796,0.295,0.006,-1.66,4.61,-10.0,0,0,0,0,0.0
9.826,0.312,0.008,-1.48,5.22,-7.57,0,0,0,0,0.0
9.957,0.336,0.008,-1.8,5.62,-9.59,0,0,0,0,0.0
9.996,0.303,0.012,-2.48,5.94,-6.5,0,0,0,0,0.0
10.025,0.275,0.013,-2.13,6.88,-8.7,0,0,0,0,0.0
10.067,0.214,0.007,-2.29,6.96,-7.17,0,0,0,0,5.0
10.193,0.235,0.007,-2.24,6.83,-7.88,0,0,0,0,3.3
10.223,0.284,0.003,-3.07,7.28,-9.21,0,0,0,0,0.0
10.248,0.295,0.009,-4.28,7.69,-7.52,0,0,0,0,0.0
10.275,0.284,0.012,-1.81,6.43,-7.81,0,0,0,0,0.0
10.405,0.301,0.01,-4.35,7.12,-8.37,0,0,0,0,0.0
10.429,0.283,0.022,-3.94,6.63,-7.81,0,0,0,0,0.0
10.45,0.294,0.016,-3.81,6.08,-8.36,0,0,0,0,0.0
10.475,0.3,0.006,-1.31,6.15,-7.75,0,0,0,0,0.0
10.587,0.263,0.006,-4.15,5.02,-9.34,0,0,0,0,0.0
10.623,0.21,0.018,-0.61,3.21,-7.86,0,0,0,0,5.5
10.654,0.189,0.076,-0.85,3.22,-9.86,0,0,0,0,8.8
10.69,0.226,0.094,0.71,1.96,-7.62,0,0,0,0,5.1
10.819,0.264,0.01,-1.52,3.65,-8.07,0,0,0,0,0.0
10.845,0.268,0.041,-1.62,3.29,-7.22,0,0,0,0,0.0
10.87,0.292,0.012,-1.96,3.06,-7.54,0,0,0,0,0.0
10.903,0.276,0.018,-1.73,3.56,-8.11,0,0,0,0,0.0
11.042,0.276,0.07,-1.53,3.56,-8.86,0,0,0,0,0.0
11.065,0.248,0.007,-3.6,3.38,-11.94,0,0,0,0,1.0
11.094,0.209,0.003,-0.39,1.43,-10.02,0,0,0,0,6.4
11.118,0.214,0.003,-2.63,3.08,-9.28,0,0,0,0,6.6
11.249,0.243,0.014,0.2,1.65,-7.12,0,0,0,0,3.9
11.277,0.283,0.007,-0.78,2.42,-7.15,0,0,0,0,0.0
11.315,0.266,0.006,-0.29,2.15,-8.02,0,0,0,0,0.0
11.346,0.275,0.004,-0.32,2.39,-8.71,0,0,0,0,0.0
11.473,0.286,0.01,0.42,3.14,-7.64,0,0,0,0,0.0
11.498,0.283,0.043,-1.18,1.89,-5.4,0,0,0,0,0.0
11.529,0.272,0.005,-3.42,1.6,-6.15,0,0,0,0,0.0
11.559,0.247,0.011,-4.09,2.01,-10.17,0,0,0,0,1.1
11.679,0.225,0.01,-2.11,2.01,-7.03,0,0,0,0,4.5
11.7,0.244,0.006,-1.23,1.34,-7.49,0,0,0,0,3.0
11.728,0.266,0.01,-1.36,2.52,-8.76,0,0,0,0,0.0
11.748,0.264,0.017,-0.78,1.83,-7.14,0,0,0,0,0.0
11.871,0.287,0.004,-0.36,2.1,-10.43,0,0,0,0,0.0
11.903,0.287,0.008,-0.23,2.09,-8.34,0,0,0,0,0.0
11.939,0.266,0.035,0.31,2.07,-6.31,0,0,0,0,0.0
11.969,0.277,0.007,-1.83,2.02,-9.21,0,0,0,0,0.0
12.086,0.235,0.008,-2.64,1.8,-8.37,0,0,0,0,2.5
12.119,0.233,0.01,-0.93,1.27,-11.25,0,0,0,0,3.5
12.147,0.27,0.018,-2.02,1.65,-7.2,0,0,0,0,0.0
12.177,0.277,0.006,0.16,1.8,-11.0,0,0,0,0,0.0
12.313,0.275,0.006,-0.51,1.4,-9.81,0,0,0,0,0.0
12.339,0.268,0.011,-0.77,1.84,-6.61,0,0,0,0,0.0
12.385,0.256,0.007,-1.2,2.16,-11.98,0,0,0,0,0.0
12.417,0.252,0.003,-1.99,1.73,-7.1,0,0,0,0,0.0
12.546,0.218,0.007,-0.98,0.86,-9.55,0,0,0,0,4.6
12.579,0.292,0.818,-3.88,1.03,-7.03,0,0,0,0,10.0
12.609,0.281,0.847,-3.68,1.0,-4.99,0,0,0,0,10.0
12.644,0.272,0.806,-2.12,0.11,-4.86,0,0,0,0,10.0
12.771,0.291,0.806,-2.75,0.87,-4.72,0,0,0,0,10.0
12.795,0.263,0.89,-4.57,0.81,-6.46,0,0,0,0,10.0
12.824,0.266,1.013,-2.15,0.86,-3.75,0,0,0,0,10.0
12.846,0.301,0.993,-4.1,0.2,-4.89,0,0,0,0,10.0
12.971,0.276,0.775,-2.04,0.35,-4.46,0,0,0,0,10.0
12.991,0.301,1.048,-4.05,0.11,-5.14,0,0,0,0,10.0
13.024,0.296,1.22,-3.54,0.68,-4.58,0,0,0,0,10.0
13.061,0.312,0.876,-6.2,0.07,-3.95,0,0,0,0,10.0
13.176,0.302,1.196,-4.52,0.09,-4.86,0,0,0,0,10.0
13.206,0.289,1.485,-8.46,-0.2,-3.24,0,0,0,0,10.0
13.228,0.324,1.362,-2.85,-0.41,-5.45,0,0,0,0,10.0
13.252,0.315,1.207,-5.75,-1.04,-3.45,0,0,0,0,10.0
13.379,0.316,1.464,-6.97,-0.62,-2.28,0,0,0,0,10.0
13.407,0.314,1.385,-6.39,-0.76,-3.54,0,0,0,0,10.0
13.433,0.317,1.021,-4.35,0.23,-3.37,0,1,0,0,20.0
13.459,0.295,1.121,-4.55,-0.23,-4.83,0,1,0,0,20.0
13.689,0.327,0.999,-5.11,-0.71,-3.56,0,1,0,0,20.0
13.715,0.298,1.246,-6.18,-0.79,-3.31,0,1,0,0,20.0
13.737,0.289,1.249,-6.59,-0.51,-3.99,0,1,0,0,20.0
13.761,0.298,1.295,-5.81,-0.63,-5.41,0,1,0,0,20.0
13.879,0.306,1.406,-5.58,-0.58,-4.38,0,1,0,0,20.0
13.911,0.319,1.258,-5.39,-0.94,-3.41,0,1,0,0,20.0
13.946,0.352,1.124,-3.95,-1.2,-2.75,0,1,0,0,20.0
13.979,0.331,0.991,-4.6,-1.11,-1.95,0,1,0,0,20.0
14.109,0.365,1.263,-7.11,-1.28,-3.32,0,1,0,0,20.0
14.13,0.315,1.167,-6.44,-1.43,-2.48,0,1,0,0,20.0
14.163,0.301,1.009,-3.4,-1.15,-3.57,0,1,0,0,20.0
14.194,0.33,1.181,-4.29,-0.87,-5.35,0,1,0,0,20.0
14.342,0.333,1.348,-5.27,-0.92,-3.26,0,1,0,0,20.0
14.366,0.327,1.03,-6.57,-1.14,-1.46,0,1,0,0,20.0
14.388,0.32,1.319,-1.99,-0.89,-4.04,0,1,0,0,20.0
14.423,0.306,1.28,-5.4,-1.19,-2.45,0,1,0,0,20.0
14.549,0.303,1.218,-3.62,-1.36,-2.84,0,1,0,0,20.0
14.578,0.241,1.263,-3.97,-0.87,-7.59,0,1,0,0,21.8
14.612,0.246,1.435,-5.67,-2.56,-4.43,0,1,0,0,22.0
14.646,0.255,1.321,-3.65,-1.76,-5.43,0,1,0,0,20.0
14.768,0.273,1.284,-7.03,-1.56,-4.89,0,1,0,0,20.0
14.811,0.315,1.274,-7.78,-1.04,-2.4,0,1,0,0,20.0
14.85,0.311,1.072,-3.83,-1.69,-6.56,0,1,0,0,20.0
14.876,0.32,1.151,-5.74,-1.39,-1.4,0,1,0,0,20.0
15.066,0.315,1.248,-7.0,-1.78,-3.98,0,1,0,0,20.0
15.094,0.302,0.87,-4.97,-2.97,-5.02,0,1,0,0,20.0
15.126,0.265,0.555,-2.92,-2.42,-3.44,0,0,0,0,0.0
15.148,0.29,0.532,-4.6,-1.17,-4.54,0,0,0,0,0.0
15.28,0.295,0.568,-2.04,-1.34,-5.5,0,0,0,0,0.0
15.3,0.302,0.003,-2.39,-3.12,-0.8,0,0,0,0,0.0
15.332,0.309,0.003,-0.39,-2.21,-3.8,0,0,0,0,0.0
15.361,0.299,0.007,1.12,-2.77,-6.11,0,0,0,0,0.0
15.496,0.295,0.007,0.48,-1.76,-2.64,0,0,0,0,0.0
15.523,0.311,0.009,-1.45,-4.13,-4.55,0,0,0,0,0.0
15.557,0.309,0.004,-0.43,-3.24,-0.77,0,0,0,0,0.0
15.594,0.3,0.003,-0.14,-3.38,-1.78,0,0,0,0,0.0
15.719,0.285,0.011,-0.55,-2.85,-4.5,0,0,0,0,0.0
15.745,0.29,0.005,-2.3,-3.36,-3.84,0,0,0,0,0.0
15.768,0.308,0.008,-0.71,-3.78,-2.21,0,0,0,0,0.0
15.794,0.332,0.004,0.95,-3.59,-2.45,0,0,0,0,0.0
15.922,0.319,0.016,0.09,-4.01,-0.27,0,0,0,0,0.0
15.948,0.325,0.007,0.75,-3.61,-1.14,0,0,0,0,0.0
15.978,0.313,0.01,0.76,-3.64,-2.17,0,0,0,0,0.0
15.997,0.305,0.006,-1.23,-3.64,-3.69,0,0,0,0,0.0
16.123,0.333,0.004,-2.19,-4.15,-3.75,0,0,0,0,0.0
16.157,0.322,0.006,0.61,-4.13,-2.21,0,0,0,0,0.0
16.178,0.297,0.003,-0.0,-3.75,-4.52,0,0,0,0,0.0
16.211,0.31,0.004,-0.15,-4.0,-3.1,0,0,0,0,0.0
16.328,0.319,0.005,-0.36,-3.95,-4.16,0,0,0,0,0.0
16.357,0.291,0.012,-0.74,-3.38,-5.35,0,0,0,0,0.0
16.39,0.206,0.003,0.73,-4.92,-5.21,0,0,0,0,6.0
16.41,0.242,0.006,-0.39,-3.63,-4.82,0,0,0,0,2.5
16.576,0.293,0.009,-0.98,-3.25,-8.53,0,0,0,0,0.0
16.596,0.297,0.007,0.05,-3.51,-4.59,0,0,0,0,0.0
16.63,0.323,0.006,-0.78,-4.07,-6.67,0,0,0,0,0.0
16.661,0.323,0.006,-1.03,-4.03,-7.23,0,0,0,0,0.0
16.81,0.312,0.007,-0.17,-3.87,-5.08,0,0,0,0,0.0
16.829,0.307,0.008,5.57,-2.36,-2.59,0,0,0,0,0.0
16.868,0.31,0.011,3.6,-2.9,0.41,0,0,0,0,0.0
16.898,0.321,0.011,2.87,-3.67,-2.08,0,0,0,0,0.0
17.047,0.305,0.038,3.76,-2.73,-1.81,0,0,0,0,0.0
17.077,0.323,0.004,3.72,-2.55,-4.73,0,0,0,0,0.0
17.099,0.311,0.008,3.16,-3.57,-4.23,0,0,0,0,0.0
17.129,0.246,0.003,7.31,-4.42,-4.06,0,0,0,0,1.2
17.262,0.226,0.01,6.23,-3.86,-3.07,0,0,0,0,4.3
17.286,0.229,0.005,4.49,-3.77,-6.12,0,0,0,0,4.7
17.311,0.254,0.005,4.66,-3.12,-1.91,0,0,0,0,0.0
17.332,0.259,0.011,6.49,-4.35,-2.74,0,0,0,0,0.0
17.476,0.219,0.003,10.11,-3.25,4.75,0,0,0,0,4.4
17.501,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
17.544,0.238,0.009,9.14,-6.91,-7.67,0,0,0,0,2.2
17.574,0.298,0.01,6.25,-4.86,-6.82,0,0,0,0,0.0
17.725,0.261,0.015,9.84,-5.69,0.22,0,0,0,0,0.0
17.746,0.269,0.011,12.46,-4.63,-0.27,0,0,0,0,0.0
17.776,0.301,0.019,12.51,-5.52,0.66,0,0,0,0,0.0
17.812,0.269,0.007,10.66,-5.86,-1.43,0,0,0,0,0.0
17.939,0.282,0.098,11.03,-5.53,2.18,0,0,0,0,0.0
17.961,0.31,0.005,12.29,-5.17,1.82,0,0,0,0,0.0
17.984,0.272,0.004,10.86,-4.75,2.14,0,0,0,0,0.0
18.009,0.288,0.003,12.05,-3.95,2.63,0,0,0,0,0.0
18.135,0.307,0.011,10.26,-5.89,-0.2,0,0,0,0,0.0
18.162,0.31,0.004,10.9,-5.86,1.74,0,0,0,0,0.0
18.194,0.292,0.01,10.38,-4.61,3.89,0,0,0,0,0.0
18.213,0.314,0.008,10.44,-4.27,1.57,0,0,0,0,0.0
18.342,0.273,0.006,12.77,-5.08,9.72,0,0,0,0,0.0
18.363,0.288,0.008,10.97,-4.52,2.54,0,0,0,0,0.0
18.389,0.308,0.007,11.72,-4.22,5.81,0,0,0,0,0.0
18.413,0.291,0.004,10.06,-4.71,3.52,0,0,0,0,0.0
18.604,0.291,0.009,10.44,-4.3,6.81,0,0,0,0,0.0
18.628,0.306,0.01,0.77,-3.75,17.9,0,0,0,0,0.0
18.653,0.284,0.016,9.44,-4.6,7.75,0,0,0,0,0.0
18.674,0.271,0.006,9.67,-4.49,8.22,0,0,0,0,0.0
18.816,0.291,0.005,7.03,-5.12,4.07,0,0,0,0,0.0
18.84,0.271,0.002,8.12,-4.44,7.84,0,0,0,0,0.0
18.874,0.283,0.006,10.34,-5.48,6.19,0,0,0,0,0.0
18.895,0.321,0.006,8.75,-5.66,10.64,0,0,0,0,0.0
